Total files: 65
Total LOC:   1448
Missing:     0

   52  lib/features/organizations/domain/organization_model.dart
   40  lib/features/organizations/providers/organization_providers.dart
   10  lib/features/assignments/application/application.dart
   96  lib/features/assignments/data/assignment_repository.dart
   14  lib/features/assignments/data/data.dart
   49  lib/features/assignments/domain/assignment_model.dart
   11  lib/features/assignments/domain/domain.dart
   37  lib/features/assignments/providers/assignment_providers.dart
   13  lib/features/assignments/providers/providers.dart
  112  lib/features/auth/data/auth_repository.dart
    2  lib/features/auth/data/data.dart
   80  lib/features/auth/domain/auth_model.dart
    9  lib/features/auth/domain/auth_providers.dart
   28  lib/features/auth/domain/auth_state.dart
    2  lib/features/auth/domain/domain.dart
    3  lib/features/auth/providers/providers.dart
   13  lib/features/exams/application/application.dart
    6  lib/features/exams/data/data.dart
   36  lib/features/exams/data/exam_repository.dart
    5  lib/features/exams/domain/domain.dart
  103  lib/features/exams/domain/exam_model.dart
   12  lib/features/exams/providers/exam_generated_providers.dart
   12  lib/features/exams/providers/exam_providers.dart
    6  lib/features/exams/providers/providers.dart
  117  lib/features/classes/domain/class_model.dart
   67  lib/features/students/domain/student_model.dart
   92  lib/features/submissions/data/submission_repository.dart
  102  lib/features/submissions/domain/submission_model.dart
   31  lib/features/submissions/providers/submission_providers.dart
    9  lib/features/academic/application/application.dart
    9  lib/features/academic/data/data.dart
    9  lib/features/academic/domain/domain.dart
    9  lib/features/academic/providers/providers.dart
    9  lib/features/analytics/application/application.dart
    7  lib/features/analytics/data/data.dart
    7  lib/features/analytics/domain/domain.dart
    8  lib/features/analytics/providers/providers.dart
    9  lib/features/attendance/application/application.dart
    6  lib/features/attendance/data/data.dart
    9  lib/features/attendance/domain/domain.dart
    8  lib/features/attendance/providers/providers.dart
   10  lib/features/lms/application/application.dart
   17  lib/features/lms/data/data.dart
   12  lib/features/lms/domain/domain.dart
   16  lib/features/lms/providers/providers.dart
    9  lib/features/messaging/application/application.dart
    6  lib/features/messaging/data/data.dart
    9  lib/features/messaging/domain/domain.dart
    8  lib/features/messaging/providers/providers.dart
   10  lib/features/parent/application/application.dart
   13  lib/features/parent/data/data.dart
   10  lib/features/parent/domain/domain.dart
   13  lib/features/parent/providers/providers.dart
    2  lib/features/classes/data/data.dart
    2  lib/features/classes/domain/domain.dart
    2  lib/features/classes/providers/providers.dart
    2  lib/features/students/domain/domain.dart
    2  lib/features/students/providers/providers.dart
    2  lib/features/submissions/data/data.dart
    2  lib/features/submissions/domain/domain.dart
    2  lib/features/submissions/providers/providers.dart
   10  lib/features/academic/academic.dart
   10  lib/features/analytics/analytics.dart
   10  lib/features/attendance/attendance.dart
   10  lib/features/messaging/messaging.dart
